puzzle_id,qid,label_display,accepted_answers,description_en,enwiki_title,enwiki_url,theme_path,Category,pageviews_days,sitelinks,popularity_score,richness_score,work_embedding,instance_of,part_of,subclass_of,wikipedia_tags,Hint1,Hint2,Hint3,Hint5,Hint6,Hint7,Hint8,Hint9,Hint10
1,Q9368,liver,Liver|hepar|liver,vertebrate organ involved in metabolism,Liver,https://en.wikipedia.org/wiki/Liver,Q25452965,Abdomen,197607,194,10.117728252083555,9,Abdomen|abdomen|absence|accessory digestive gland|anatomical structure type|anatomy|artery|bile|body|book|breakdown|carbohydrate|cholesterol|cite|concentrates|decomposition|digestion|essentials|exclusively|functions|glandular organ|hepatic|hepatic|bile|artery,class of anatomical entity|organ type,human digestive system,accessory digestive gland|glandular organ|lobular organ|particular anatomical entity,abdomen|absence|anatomy|artery|bile|body|book|breakdown|carbohydrate|cholesterol|cite|concentrates|decomposition|digestion|essentials|exclusively|functions|hepatic|human|liver|located|location|male|metabolic|mostly|necessary|nerve|organ|organs|physiology,CATEGORY:Anatomy,LOCATION:Abdomen,ROLE:digestion,,,,,,
2,Q9377,kidney,Kidney|kidney,"internal organ in most animals, including vertebrates and some invertebrates",Kidney,https://en.wikipedia.org/wiki/Kidney,Q25452965,Abdomen,169865,163,9.959895547289507,9,Abdomen|abdomen|addresses|anatomical structure type|anatomy|animal organ|artery|associated|behind|bladder|blood|contains|create|diagram|disease|diseases|endocrine|endocrine system|estimated|examples|failure|filter|disease|artery|endocrine|bladder,class of anatomical entity|organ type,endocrine system|urinary system,animal organ|particular anatomical entity|urinary organ,abdomen|addresses|anatomy|artery|associated|behind|bladder|blood|contains|create|diagram|disease|diseases|endocrine|estimated|examples|failure|filter|filtration|function|glands|humans|include|kidney|kidneys|location|million|organs|position|renal,CATEGORY:Anatomy,LOCATION:Abdomen,ROLE:filtering,,,,,,
3,Q9618,pancreas,Pancreas|pancreas,glandular organ that plays a role in the digestive and endocrine systems of vertebrates,Pancreas,https://en.wikipedia.org/wiki/Pancreas,Q25452965,Abdomen,181670,121,9.918173159952635,8,Abdomen|anatomical structure type|anatomy|anterior|artery|blood|book|buds|carbohydrates|chronic|cite|diabetes|digestion|digestive|endocrine|entering|essentials|function|functions|gland|glandular organ|human|artery|endocrine|gland|digestive|diabetes,class of anatomical entity|organ type,,glandular organ|lobular organ|particular anatomical entity,anatomy|anterior|artery|blood|book|buds|carbohydrates|chronic|cite|diabetes|digestion|digestive|endocrine|entering|essentials|function|functions|gland|human|identified|inferior|insulin|juice|known|lymph|nerve|nodes|organ|pancreas|pancreatic,CATEGORY:Anatomy,LOCATION:Abdomen,ROLE:digestion,,,,,,
4,Q9371,spleen,Spleen|spleen,organ recycling old red blood cells and also housing lymphocytes,Spleen,https://en.wikipedia.org/wiki/Spleen,Q25452965,Abdomen,147738,116,9.760893918127865,9,Abdomen|abdomen|adaptive|anatomical structure type|anatomy|animal organ|antibodies|artery|blood|blood forming organ|cells|cords|corticomedullary organ|diagram|differentiate|glands|human|immune|immune system|immunity|injury|innate|abdomen|immune|glands,class of anatomical entity|organ type,immune system,animal organ|blood forming organ|corticomedullary organ|lymphoid tissue|particular anatomical entity,abdomen|adaptive|anatomy|antibodies|artery|blood|cells|cords|diagram|differentiate|glands|human|immune|immunity|injury|innate|large|lien|lymph|organ|organs|plasma|portion|position|pulp|remove|removed|showing|specific|spleen,CATEGORY:Anatomy,LOCATION:Abdomen,ROLE:filtering,,,,,,
5,Q190140,vagus nerve,CN X|Vagus nerve|cranial nerve X|pneumogastric nerve|vagus nerve,tenth cranial nerve,Vagus nerve,https://en.wikipedia.org/wiki/Vagus_nerve,Q25452965,Abdomen,209457,50,9.756142654460664,8,Abdomen|abdomen|anatomy|approximately|body|course|cranial nervi|digestion|digestive|distribution|fibers|functions|heart|historically|human|involuntary|known|lungs|motor|muscle|neck|muscle|neck|abdomen,class of anatomical entity,,cranial nervi|particular anatomical entity,abdomen|anatomy|approximately|body|course|digestion|digestive|distribution|fibers|functions|heart|historically|human|involuntary|known|lungs|motor|muscle|neck|nerve|nerves|nervous|nucleus|plan|portions|rate|regulating|role|sensory|tongue,CATEGORY:Anatomy,LOCATION:Whole Body,ROLE:communication,,,,,,
6,Q9597,abdomen,Abdomen|abdomen|belly|tummy,"in humans, region of the body between the thorax at the top and the pelvis at the bottom; in insects, segment at the caudal end of the body, following on from the head and thorax",Abdomen,https://en.wikipedia.org/wiki/Abdomen,Q25452965,Abdomen,124572,124,9.661347139095286,9,abdominal|abdominal segment of trunk|anatomical structure type|anatomy|animal|belonging|beneath|body|brim|cavity|continuous|diaphragm|digestive|front|human|humans|inlet|inner|male|membrane|movement|occupied|abdominal|anatomy|cavity,class of anatomical entity|organism subdivision type,abdominal segment of trunk,particular anatomical entity|subdivision of trunk proper|tagma,abdomen|abdominal|anatomy|animal|belonging|beneath|body|brim|cavity|continuous|diaphragm|digestive|front|human|humans|inlet|inner|male|membrane|movement|occupied|organs|pelvis|posterior|region|stretches|structures|surface|thoracic,CATEGORY:Anatomy,TYPE:Body part,ROLE:Structual,,,,,,
7,Q64386,gallbladder,Gall bladder|Gallbladder|biliary vesicle|cholecyst|gall bladder|gallbladder,organ in humans and other vertebrates,Gallbladder,https://en.wikipedia.org/wiki/Gallbladder,Q25452965,Abdomen,135500,100,9.6562501645963,9,Abdomen|abdomen|although|anatomical structure type|anatomy|animal|animal organ|artery|august|augusta|autoimmune|beneath|bile|book|breakdown|cholesterol|cite|college|common|concentrated|control|cystic|bile|cystic|anatomy|animal|abdomen,class of anatomical entity|organ type,human digestive system,animal organ|organ with organ cavity|particular anatomical entity,abdomen|although|anatomy|animal|artery|august|augusta|autoimmune|beneath|bile|book|breakdown|cholesterol|cite|college|common|concentrated|control|cystic|diagram|digestion|digestive|dissolved|duct|essentials|function|gastrointestinal|georgia|http|human,CATEGORY:Anatomy,LOCATION:Abdomen,ROLE:digestion,,,,,,
8,Q2409,hydrochloric acid,HCl|HCl (aq)|Hydrochloric acid|aqueous HCl|aqueous hydrochloric acid|hydrochloric acid|marine acid|muriatic acid|spirit of salt|spirits of salt,"highly corrosive, strong mineral acid in aqueous solution",Hydrochloric acid,https://en.wikipedia.org/wiki/Hydrochloric_acid,Q25452965,Abdomen,137048,92,9.63944551151404,8,Abdomen|additives|animal|aqueous|aqueous solution|chemical|chemicals|chloride|chlorine|colorless|component|containing|digestive|distinctive|gastric|hydrogen|important|industrial|laboratory|matter|mineral|chloride|containing|chemical|chlorine|chemicals|mineral,aqueous solution,,hydrohalic acid,acid|acids|additives|animal|aqueous|chemical|chemicals|chloride|chlorine|classified|colorless|component|containing|digestive|distinctive|gastric|hydrogen|important|industrial|laboratory|mineral|natural|photographic|products|solution|solutions|species|spirits|stomach|strong,CATEGORY:Anatomy,TYPE:Chemical molecule,ROLE:digestion,,,,,,
9,Q1029907,stomach,Stomach|stomach,digestive organ,Stomach,https://en.wikipedia.org/wiki/Stomach,Q25452965,Abdomen,65977,169,9.308693173590203,9,Abdomen|abdomen|anatomical structure type|anatomy|animal organ|arteries|artery|book|breakdown|cite|digestion|digestive|essentials|file|following|food|functions|gastric|gastrointestinal|gastrointestinal tract|human|influencing|gastric|artery|digestive|gastrointestinal|abdomen,class of anatomical entity|organ type,gastrointestinal tract,animal organ|organ with organ cavity|particular anatomical entity,abdomen|anatomy|arteries|artery|book|breakdown|cite|digestion|digestive|essentials|file|following|food|functions|gastric|gastrointestinal|human|influencing|intestine|intestines|involved|lymph|muscular|nerve|nodes|organ|organs|partially|phase|physiology,CATEGORY:Anatomy,LOCATION:Abdomen,ROLE:digestion,,,,,,
10,Q43801,navel,Navel|belly button|navel|omphalos|umbilicus,scar on the abdomen at the attachment site of the umbilical cord,Navel,https://en.wikipedia.org/wiki/Navel,Q25452965,Abdomen,75678,121,9.30518550649544,9,Abdomen|abdomen|area|attachment|belly|button|clinically|cord|flat|known|particular anatomical entity|protruding|scar|scarring|site|subdivision of abdomen|tummy|umbilical|umbilical|abdomen|scarring|belly,class of anatomical entity,abdomen,particular anatomical entity|scar|subdivision of abdomen,abdomen|area|attachment|belly|button|clinically|cord|flat|known|protruding|scarring|site|tummy|umbilical,CATEGORY:Anatomy,LOCATION:Abdomen,CAUSE:birth,,,,,,
